date,value,category,topic
2022-01-01,20.0,Economics,Finance
2022-01-02,20.0,Economics,Finance
2022-01-03,37.0,Economics,Finance
2022-01-04,96.0,Economics,Finance
2022-01-05,35.0,Economics,Finance
2022-01-06,36.0,Economics,Finance
2022-01-07,40.0,Economics,Finance
2022-01-08,24.0,Economics,Finance
2022-01-09,21.0,Economics,Finance
2022-01-10,41.0,Economics,Finance
2022-01-11,40.0,Economics,Finance
2022-01-12,38.0,Economics,Finance
2022-01-13,83.0,Economics,Finance
2022-01-14,31.0,Economics,Finance
2022-01-15,24.0,Economics,Finance
2022-01-16,38.0,Economics,Finance
2022-01-17,31.0,Economics,Finance
2022-01-18,38.0,Economics,Finance
2022-01-19,39.0,Economics,Finance
2022-01-20,38.0,Economics,Finance
2022-01-21,41.0,Economics,Finance
2022-01-22,25.0,Economics,Finance
2022-01-23,21.0,Economics,Finance
2022-01-24,100.0,Economics,Finance
2022-01-25,38.0,Economics,Finance
2022-01-26,34.0,Economics,Finance
2022-01-27,38.0,Economics,Finance
2022-01-28,42.0,Economics,Finance
2022-01-29,25.0,Economics,Finance
2022-01-30,21.0,Economics,Finance
2022-01-31,41.0,Economics,Finance
2022-02-01,43.0,Economics,Finance
2022-02-02,41.0,Economics,Finance
2022-02-03,43.0,Economics,Finance
2022-02-04,41.0,Economics,Finance
2022-02-05,26.0,Economics,Finance
2022-02-06,20.0,Economics,Finance
2022-02-07,43.0,Economics,Finance
2022-02-08,40.0,Economics,Finance
2022-02-09,39.0,Economics,Finance
2022-02-10,36.0,Economics,Finance
2022-02-11,41.0,Economics,Finance
2022-02-12,24.0,Economics,Finance
2022-02-13,21.0,Economics,Finance
2022-02-14,41.0,Economics,Finance
2022-02-15,43.0,Economics,Finance
2022-02-16,42.0,Economics,Finance
2022-02-17,43.0,Economics,Finance
2022-02-18,39.0,Economics,Finance
2022-02-19,24.0,Economics,Finance
2022-02-20,21.0,Economics,Finance
2022-02-21,37.0,Economics,Finance
2022-02-22,43.0,Economics,Finance
2022-02-23,41.0,Economics,Finance
2022-02-24,47.0,Economics,Finance
2022-02-25,40.0,Economics,Finance
2022-02-26,24.0,Economics,Finance
2022-02-27,22.0,Economics,Finance
2022-02-28,47.0,Economics,Finance
2022-03-01,41.0,Economics,Finance
2022-03-02,43.0,Economics,Finance
2022-03-03,43.0,Economics,Finance
2022-03-04,41.0,Economics,Finance
2022-03-05,25.0,Economics,Finance
2022-03-06,22.0,Economics,Finance
2022-03-07,44.0,Economics,Finance
2022-03-08,44.0,Economics,Finance
2022-03-09,42.0,Economics,Finance
2022-03-10,42.0,Economics,Finance
2022-03-11,40.0,Economics,Finance
2022-03-12,23.0,Economics,Finance
2022-03-13,22.0,Economics,Finance
2022-03-14,40.0,Economics,Finance
2022-03-15,41.0,Economics,Finance
2022-03-16,41.0,Economics,Finance
2022-03-17,40.0,Economics,Finance
2022-03-18,36.0,Economics,Finance
2022-03-19,22.0,Economics,Finance
2022-03-20,20.0,Economics,Finance
2022-03-21,42.0,Economics,Finance
2022-03-22,41.0,Economics,Finance
2022-03-23,41.0,Economics,Finance
2022-03-24,41.0,Economics,Finance
2022-03-25,40.0,Economics,Finance
2022-03-26,24.0,Economics,Finance
2022-03-27,22.0,Economics,Finance
2022-03-28,40.0,Economics,Finance
2022-03-29,41.0,Economics,Finance
2022-03-30,41.0,Economics,Finance
2022-03-31,41.0,Economics,Finance
2022-04-01,38.0,Economics,Finance
2022-04-02,24.0,Economics,Finance
2022-04-03,22.0,Economics,Finance
2022-04-04,42.0,Economics,Finance
2022-04-05,38.0,Economics,Finance
2022-04-06,41.0,Economics,Finance
2022-04-07,40.0,Economics,Finance
2022-04-08,40.0,Economics,Finance
2022-04-09,23.0,Economics,Finance
2022-04-10,19.0,Economics,Finance
2022-04-11,40.0,Economics,Finance
2022-04-12,39.0,Economics,Finance
2022-04-13,38.0,Economics,Finance
2022-04-14,36.0,Economics,Finance
2022-04-15,29.0,Economics,Finance
2022-04-16,21.0,Economics,Finance
2022-04-17,17.0,Economics,Finance
2022-04-18,36.0,Economics,Finance
2022-04-19,41.0,Economics,Finance
2022-04-20,42.0,Economics,Finance
2022-04-21,41.0,Economics,Finance
2022-04-22,38.0,Economics,Finance
2022-04-23,24.0,Economics,Finance
2022-04-24,21.0,Economics,Finance
2022-04-25,41.0,Economics,Finance
2022-04-26,43.0,Economics,Finance
2022-04-27,43.0,Economics,Finance
2022-04-28,42.0,Economics,Finance
2022-04-29,41.0,Economics,Finance
2022-04-30,24.0,Economics,Finance
2022-05-01,21.0,Economics,Finance
2022-05-02,39.0,Economics,Finance
2022-05-03,37.0,Economics,Finance
2022-05-04,40.0,Economics,Finance
2022-05-05,42.0,Economics,Finance
2022-05-06,41.0,Economics,Finance
2022-05-07,24.0,Economics,Finance
2022-05-08,19.0,Economics,Finance
2022-05-09,42.0,Economics,Finance
2022-05-10,43.0,Economics,Finance
2022-05-11,47.0,Economics,Finance
2022-05-12,45.0,Economics,Finance
2022-05-13,39.0,Economics,Finance
2022-05-14,23.0,Economics,Finance
2022-05-15,19.0,Economics,Finance
2022-05-16,41.0,Economics,Finance
2022-05-17,43.0,Economics,Finance
2022-05-18,43.0,Economics,Finance
2022-05-19,43.0,Economics,Finance
2022-05-20,41.0,Economics,Finance
2022-05-21,24.0,Economics,Finance
2022-05-22,18.0,Economics,Finance
2022-05-23,40.0,Economics,Finance
2022-05-24,40.0,Economics,Finance
2022-05-25,40.0,Economics,Finance
2022-05-26,40.0,Economics,Finance
2022-05-27,38.0,Economics,Finance
2022-05-28,22.0,Economics,Finance
2022-05-29,20.0,Economics,Finance
2022-05-30,33.0,Economics,Finance
2022-05-31,41.0,Economics,Finance
2022-06-01,40.0,Economics,Finance
2022-06-02,39.0,Economics,Finance
2022-06-03,38.0,Economics,Finance
2022-06-04,23.0,Economics,Finance
2022-06-05,20.0,Economics,Finance
2022-06-06,40.0,Economics,Finance
2022-06-07,41.0,Economics,Finance
2022-06-08,42.0,Economics,Finance
2022-06-09,40.0,Economics,Finance
2022-06-10,38.0,Economics,Finance
2022-06-11,23.0,Economics,Finance
2022-06-12,19.0,Economics,Finance
2022-06-13,44.0,Economics,Finance
2022-06-14,42.0,Economics,Finance
2022-06-15,45.0,Economics,Finance
2022-06-16,43.0,Economics,Finance
2022-06-17,39.0,Economics,Finance
2022-06-18,23.0,Economics,Finance
2022-06-19,19.0,Economics,Finance
2022-06-20,37.0,Economics,Finance
2022-06-21,40.0,Economics,Finance
2022-06-22,42.0,Economics,Finance
2022-06-23,39.0,Economics,Finance
2022-06-24,38.0,Economics,Finance
2022-06-25,23.0,Economics,Finance
2022-06-26,18.0,Economics,Finance
2022-06-27,40.0,Economics,Finance
2022-06-28,38.0,Economics,Finance
2022-06-29,38.0,Economics,Finance
2022-06-30,37.0,Economics,Finance
2022-07-01,38.0,Economics,Finance
2022-07-02,23.0,Economics,Finance
2022-07-03,19.0,Economics,Finance
2022-07-04,32.0,Economics,Finance
2022-07-05,40.0,Economics,Finance
2022-07-06,41.0,Economics,Finance
2022-07-07,40.0,Economics,Finance
2022-07-08,37.0,Economics,Finance
2022-07-09,21.0,Economics,Finance
2022-07-10,18.0,Economics,Finance
2022-07-11,38.0,Economics,Finance
2022-07-12,38.0,Economics,Finance
2022-07-13,39.0,Economics,Finance
2022-07-14,38.0,Economics,Finance
2022-07-15,38.0,Economics,Finance
2022-07-16,24.0,Economics,Finance
2022-07-17,19.0,Economics,Finance
2022-07-18,40.0,Economics,Finance
2022-07-19,41.0,Economics,Finance
2022-07-20,41.0,Economics,Finance
2022-07-21,41.0,Economics,Finance
2022-07-22,41.0,Economics,Finance
2022-07-23,22.0,Economics,Finance
2022-07-24,19.0,Economics,Finance
2022-07-25,40.0,Economics,Finance
2022-07-26,40.0,Economics,Finance
2022-07-27,39.0,Economics,Finance
2022-07-28,45.0,Economics,Finance
2022-07-29,40.0,Economics,Finance
2022-07-30,23.0,Economics,Finance
2022-07-31,20.0,Economics,Finance
2022-08-01,40.0,Economics,Finance
2022-08-02,41.0,Economics,Finance
2022-08-03,42.0,Economics,Finance
2022-08-04,42.0,Economics,Finance
2022-08-05,41.0,Economics,Finance
2022-08-06,23.0,Economics,Finance
2022-08-07,20.0,Economics,Finance
2022-08-08,41.0,Economics,Finance
2022-08-09,39.0,Economics,Finance
2022-08-10,39.0,Economics,Finance
2022-08-11,39.0,Economics,Finance
2022-08-12,37.0,Economics,Finance
2022-08-13,21.0,Economics,Finance
2022-08-14,20.0,Economics,Finance
2022-08-15,36.0,Economics,Finance
2022-08-16,44.0,Economics,Finance
2022-08-17,44.0,Economics,Finance
2022-08-18,41.0,Economics,Finance
