date,value,category,topic
2025-08-02,52,Economics,Finance
2025-08-03,50,Economics,Finance
2025-08-04,86,Economics,Finance
2025-08-05,80,Economics,Finance
2025-08-06,81,Economics,Finance
2025-08-07,73,Economics,Finance
2025-08-08,75,Economics,Finance
2025-08-09,50,Economics,Finance
2025-08-10,49,Economics,Finance
2025-08-11,85,Economics,Finance
2025-08-12,94,Economics,Finance
2025-08-13,90,Economics,Finance
2025-08-14,92,Economics,Finance
2025-08-15,83,Economics,Finance
2025-08-16,64,Economics,Finance
2025-08-17,59,Economics,Finance
2025-08-18,97,Economics,Finance
2025-08-19,100,Economics,Finance
2025-08-02,53,Economics,Stock Market
2025-08-03,50,Economics,Stock Market
2025-08-04,88,Economics,Stock Market
2025-08-05,73,Economics,Stock Market
2025-08-06,82,Economics,Stock Market
2025-08-07,82,Economics,Stock Market
2025-08-08,74,Economics,Stock Market
2025-08-09,49,Economics,Stock Market
2025-08-10,46,Economics,Stock Market
2025-08-11,81,Economics,Stock Market
2025-08-12,98,Economics,Stock Market
2025-08-13,95,Economics,Stock Market
2025-08-14,97,Economics,Stock Market
2025-08-15,95,Economics,Stock Market
2025-08-16,63,Economics,Stock Market
2025-08-17,62,Economics,Stock Market
2025-08-18,100,Economics,Stock Market
2025-08-19,97,Economics,Stock Market
2025-08-02,36,Economics,Inflation
2025-08-03,38,Economics,Inflation
2025-08-04,47,Economics,Inflation
2025-08-05,43,Economics,Inflation
2025-08-06,45,Economics,Inflation
2025-08-07,45,Economics,Inflation
2025-08-08,45,Economics,Inflation
2025-08-09,42,Economics,Inflation
2025-08-10,45,Economics,Inflation
2025-08-11,56,Economics,Inflation
2025-08-12,100,Economics,Inflation
2025-08-13,75,Economics,Inflation
2025-08-14,86,Economics,Inflation
2025-08-15,82,Economics,Inflation
2025-08-16,68,Economics,Inflation
2025-08-17,72,Economics,Inflation
2025-08-18,73,Economics,Inflation
2025-08-19,74,Economics,Inflation
2025-08-02,50,Economics,GDP
2025-08-03,53,Economics,GDP
2025-08-04,55,Economics,GDP
2025-08-05,50,Economics,GDP
2025-08-06,58,Economics,GDP
2025-08-07,55,Economics,GDP
2025-08-08,54,Economics,GDP
2025-08-09,59,Economics,GDP
2025-08-10,61,Economics,GDP
2025-08-11,57,Economics,GDP
2025-08-12,70,Economics,GDP
2025-08-13,66,Economics,GDP
2025-08-14,79,Economics,GDP
2025-08-15,92,Economics,GDP
2025-08-16,82,Economics,GDP
2025-08-17,91,Economics,GDP
2025-08-18,91,Economics,GDP
2025-08-19,100,Economics,GDP
2025-08-02,51,Economics,Unemployment
2025-08-03,74,Economics,Unemployment
2025-08-04,93,Economics,Unemployment
2025-08-05,75,Economics,Unemployment
2025-08-06,73,Economics,Unemployment
2025-08-07,70,Economics,Unemployment
2025-08-08,65,Economics,Unemployment
2025-08-09,48,Economics,Unemployment
2025-08-10,73,Economics,Unemployment
2025-08-11,90,Economics,Unemployment
2025-08-12,88,Economics,Unemployment
2025-08-13,81,Economics,Unemployment
2025-08-14,83,Economics,Unemployment
2025-08-15,79,Economics,Unemployment
2025-08-16,58,Economics,Unemployment
2025-08-17,83,Economics,Unemployment
2025-08-18,100,Economics,Unemployment
2025-08-19,66,Economics,Unemployment
2025-08-02,43,Politics,Elections
2025-08-03,44,Politics,Elections
2025-08-04,65,Politics,Elections
2025-08-05,61,Politics,Elections
2025-08-06,66,Politics,Elections
2025-08-07,52,Politics,Elections
2025-08-08,50,Politics,Elections
2025-08-09,44,Politics,Elections
2025-08-10,46,Politics,Elections
2025-08-11,52,Politics,Elections
2025-08-12,66,Politics,Elections
2025-08-13,66,Politics,Elections
2025-08-14,73,Politics,Elections
2025-08-15,72,Politics,Elections
2025-08-16,59,Politics,Elections
2025-08-17,70,Politics,Elections
2025-08-18,97,Politics,Elections
2025-08-19,100,Politics,Elections
2025-08-02,53,Politics,Government
2025-08-03,52,Politics,Government
2025-08-04,67,Politics,Government
2025-08-05,66,Politics,Government
2025-08-06,74,Politics,Government
2025-08-07,68,Politics,Government
2025-08-08,64,Politics,Government
2025-08-09,51,Politics,Government
2025-08-10,53,Politics,Government
2025-08-11,69,Politics,Government
2025-08-12,81,Politics,Government
2025-08-13,80,Politics,Government
2025-08-14,82,Politics,Government
2025-08-15,74,Politics,Government
2025-08-16,70,Politics,Government
2025-08-17,74,Politics,Government
2025-08-18,88,Politics,Government
2025-08-19,100,Politics,Government
2025-08-02,61,Politics,Policy
